Var_name	Question_Text	QNS	HIPAA	Data_Type	ProjectName	coded_value	option_list
i1e33	IODINATED ORAL CONTRAST CONSUMED - MORNING OF EXAM	41		List	QIN_6664	1	No
i1e33	IODINATED ORAL CONTRAST CONSUMED - MORNING OF EXAM	41		List	QIN_6664	2	Yes
i1e34	OTHER KNOWN MEDICAL CONDITIONS	42		List	QIN_6664	1	No
i1e34	OTHER KNOWN MEDICAL CONDITIONS	42		List	QIN_6664	2	Yes
i1e34	OTHER KNOWN MEDICAL CONDITIONS	42		List	QIN_6664	99	Unknown
i1e35	MEDICAL HISTORY EVENTS - LUNG CANCER OR NODULE	43		List	QIN_6664	1	No
i1e35	MEDICAL HISTORY EVENTS - LUNG CANCER OR NODULE	43		List	QIN_6664	2	Yes
i1e36	MEDICAL HISTORY EVENTS - KIDNEY CANCER OR CYST	44		List	QIN_6664	1	No
i1e36	MEDICAL HISTORY EVENTS - KIDNEY CANCER OR CYST	44		List	QIN_6664	2	Yes
i1e37	MEDICAL HISTORY EVENTS - KIDNEY STONES	45		List	QIN_6664	1	No
i1e37	MEDICAL HISTORY EVENTS - KIDNEY STONES	45		List	QIN_6664	2	Yes
i1e38	MEDICAL HISTORY EVENTS - ABDOMINAL AORTIC ANEURYSM	46		List	QIN_6664	1	No
i1e38	MEDICAL HISTORY EVENTS - ABDOMINAL AORTIC ANEURYSM	46		List	QIN_6664	2	Yes
i1e39	MEDICAL HISTORY EVENTS - LIVER DISEASE/CIRRHOSIS	47		List	QIN_6664	1	No
i1e39	MEDICAL HISTORY EVENTS - LIVER DISEASE/CIRRHOSIS	47		List	QIN_6664	2	Yes
i1e40	MEDICAL HISTORY EVENTS - HERNIA	48		List	QIN_6664	1	No
i1e40	MEDICAL HISTORY EVENTS - HERNIA	48		List	QIN_6664	2	Yes
i1e41	MEDICAL HISTORY EVENTS - GALLBLADDER DISEASE	49		List	QIN_6664	1	No
i1e41	MEDICAL HISTORY EVENTS - GALLBLADDER DISEASE	49		List	QIN_6664	2	Yes
i1e42	MEDICAL HISTORY EVENTS - CYST OR CANCER OF OVARY	50		List	QIN_6664	1	No
i1e42	MEDICAL HISTORY EVENTS - CYST OR CANCER OF OVARY	50		List	QIN_6664	2	Yes
